id	lon	lat	amenity	name	addr	brand	operator	phone	self_service	amenity
892479	-0.4059463	51.3733104	fuel							
2768092	-0.9136502	52.2154775	fuel	Tesco Fuel		Tesco	Tesco			
7161702	-0.5315944	52.1447627	fuel	Steven Eagell		BP				
10533953	-1.2903915	50.9165263	fuel	Texaco						
10672208	-0.5392100	53.1671380	fuel				Jet			
10942577	-1.3319484	50.9012388	fuel	BP		BP	BP			
11152994	-1.2117415	52.7727847	fuel	Sainsbury's Petrol Station						
11628682	-4.3440907	55.9343584	fuel	Malthurst Service Station						
12136172	-0.4047641	51.3373941	fuel			Shell	Shell	+44 1932 590146		
12174921	-1.2377799	52.7794385	fuel	Morrisons		Morrisons				
12813858	-1.2073642	52.7598373	fuel	Texaco Petrol Station						
13359737	-0.4486348	51.4233154	fuel	BP			BP			
13558410	-1.8283841	52.5334695	fuel							
13797386	-0.4851821	52.1465328	fuel	Sainsburys						
13797390	-0.4585589	52.1585965	fuel	Avon Drive Service Centre						
13797391	-0.4967093	52.1140840	fuel	Kempston Service Station		Shell	Shell	+44 1234 841767		
13797393	-0.4598046	52.1262496	fuel	Esso Southgate		Esso	esso			
13797394	-0.4769472	52.1066740	fuel	Bedford SF Connect		BP	BP			
13888518	-1.2552573	52.6130838	fuel	Cross Rd Service Station		Esso	Esso			
14072493	-1.8023954	52.5712919	fuel	Esso		Esso	Esso			
14200468	-1.6252098	50.9060724	fuel	Esso		Esso	Esso	+44 2380 814663		
14403098	-1.7399620	50.7446790	fuel			Shell	Shell	+44 1425 279794		
14725966	-0.4512328	51.7567396	fuel							
14953370	-0.6111199	51.7007242	fuel	BP		BP				
14953382	-0.4918850	51.7560490	fuel			Shell		+44 1442 218343		
14953888	-0.6108447	51.7006842	fuel	Esso		Esso				
15114235	-0.3637157	51.7211425	fuel	Chiswell Green		Shell	Shell	+44 1727 819900		
15201453	-0.7878620	50.8286887	fuel	Shop 'n' Drive						
15208207	-0.7162661	50.8548720	fuel	Esso		Esso	Esso			
15613917	-0.2135684	52.0281882	fuel				BP			
15841101	-1.3207398	50.8933886	fuel	Tesco						
16060346	-0.6069306	51.7169571	fuel	Shell Chesham		Shell		+44 1494 794568		
17402267	-0.3320618	51.7481428	fuel	Esso		Esso	Esso	+44 1727 838994		
17415835	-2.7379575	53.3899313	fuel			Shell		+44 151 422 0994		
18252913	-0.6368133	52.5929424	fuel			jet	Adams & Sons Ltd			
18351479	-1.2946549	50.9526297	fuel	Texaco						
18354390	-0.4830669	51.6367207	fuel	Esso		Esso				
18357914	-1.3100465	51.4486974	fuel	BP Moto Services Chieveley		BP	Moto Hospitality Limited	+44 1635 248024		
18358532	-0.0127904	51.7578995	fuel				Shell			
18408177	-1.7731415	51.5625878	fuel	Esso			Texaco			
18628550	0.1585052	52.2003213	fuel	Sainsbury's		Sainsbury's	Sainsbury's			
18660067	-0.6435241	52.5934639	fuel	Morcott Service Station						
19568976	-0.6627181	52.7136049	fuel	Colin Esson Motors		Pace				
20081219	0.1444324	52.1448979	fuel			Esso				
20461886	-0.9789023	51.7567798	fuel	Thame Services						
20610863	-0.2586792	51.2453528	fuel	Shell Petrol Station		Shell	Shell	+44 1737 845000		
20695554	-0.3304469	51.2982305	fuel	BP			Shell			
20841929	-1.0871962	50.8097029	fuel	Shell Victory		Shell	Shell	+44 23 92828653		
20940429	0.1367229	52.2132802	fuel				BP			
20942608	-0.9610854	51.2833944	fuel	Texaco 		Texaco	Texaco			
21027519	-0.2003928	52.0141538	fuel	Shell Baldock		Shell	Shell	+44 1462 733046		
21036563	-0.2048985	51.9820268	fuel	Sainsbury's Letchworth PFS			Sainsbury's			
21068048	-0.1647665	51.2537601	fuel	Texaco		Texaco	Texaco			
21094866	-3.0417355	53.1117335	fuel							
21275451	-1.2948524	51.0695853	fuel	Tesco						
21381871	-0.1185504	51.3642584	fuel	Texaco Fiveways		Texaco				
21382015	-0.1171568	51.3698900	fuel	Esso		Esso				
21390491	-0.1277262	51.4197615	fuel	Applegreen petrol station						
21396436	0.7165303	52.2549026	fuel	Tesco		Tesco				
21442271	-0.2434391	51.3989399	fuel	Esso		Esso	Esso			
21489350	-0.3611851	51.5562337	fuel	BP		BP	BP			
21507849	-1.2960035	51.0702718	fuel	Shell		Shell	Shell	+44 1962 877847		
21591551	0.1113073	52.2194590	fuel	Esso		Esso				
21591815	0.0898754	52.2246350	fuel	Girton Service Station		BP				
21625867	-0.3223358	51.6545209	aircraft_fuel							
21629164	-2.4911981	51.5371858	fuel			Texaco				
21642224	0.1124392	52.1732296	fuel	Shell		Shell		+44 1223 841081		
21663357	-0.3418380	51.5791119	fuel	bp						
22532402	-2.6055775	53.6104197	fuel							
23806366	-0.6868696	52.3828450	fuel	Shell Service Station		Shell		+44 1536 513950		
23879966	-0.7858907	52.3389875	fuel	Red House Garage		Shell		+44 1604 781718		
24972763	0.3609919	52.3195127	fuel	BP		BP	BP	+44 1353 723765		
24985098	-3.7215943	56.6973751	fuel	Pitlochry		BP	BP			
25121099	-2.2257530	51.8496129	fuel				Esso			
25296169	-2.8655892	53.3583833	fuel	Asda		Asda	Asda Stores Ltd			
25297464	0.3983545	52.2602678	fuel	Tesco						
25530341	-0.1156064	51.4870986	fuel	applegreen		applegreen	BP			
25531901	-1.1977615	52.7648350	fuel	HKS Elms Park		BP				
25554886	-1.3185228	51.0688146	fuel				Esso			
25611826	0.1070357	52.2491274	fuel	Gulf		Gulf				
25628964	-0.3394802	51.5517472	fuel	Greenford Service Station						
25710983	-3.1247227	53.1656082	fuel	Wylfa Service Station			Esso			
25813306	-0.1332904	51.5455592	fuel	Esso		Esso	Esso			
26056775	-0.1994487	51.2236730	fuel	Woodhatch Service Station		Texaco				
26065849	-0.1027062	51.5655221	fuel				BP			
26197220	-0.4461559	51.4961133	fuel	Esso			Esso			
26205848	-0.4384391	52.1484370	fuel				Harvest Energy			
26293473	0.4739040	51.5907280	fuel							
26392985	-0.0443145	51.7999988	fuel	Rush Green Filling Station			BP	+44 1992 517650		
26393166	-0.0896653	51.7950506	fuel	Esso		Esso	MFG		yes	
26415810	0.4182769	51.6292743	fuel							
26424786	-2.2955686	51.9376519	fuel	Crosshands Garage		BP				
26460816	-3.0324735	50.7471231	fuel				Gulf			
26482298	-1.1628053	51.8933638	fuel	Esso		Esso				
26519552	-1.1476268	51.8929390	fuel	Shell		Shell		+44 1869 253983		
26530950	0.2346209	52.1456402	fuel	Harvest			Harvest			
26531041	0.2383204	52.1217504	fuel	Acorn Garage						
26531408	0.2227728	52.1270493	fuel	Shell		Shell	Shell	+44 1223 837949		
26608559	-1.2027368	51.9584736	fuel	Esso			Esso			
26791168	-1.1662215	50.8011476	fuel	Grange Road Service Station		Harvest Energy		+44 2392 510867		
26847174	-0.1542069	51.2933400	fuel	BP Star Lane Service Station		BP	BP			
26917095	-1.3356501	53.3471175	fuel							
26963887	-2.9129318	53.3611774	fuel	BP						
26975747	-2.2086955	53.7660127	fuel	Monarch Garage						
27014162	-1.1505025	51.9070766	fuel	Gulf		Gulf				
27145760	-1.3723603	53.3895573	fuel	Morrisons			Morrisons			
27149106	-1.0831032	52.6417075	fuel	Trocadero		Shell		+44 116 246 0366		
27152463	-1.0428107	52.6308750	fuel							
27205818	-0.7536386	51.2922519	fuel	Kingsmead Service Station		Jet	MFG		yes	
